conversation_id,conversation_title,conversation_source,message_index,No.,created_at_jst,role,type,content,score,feedback,source,matched_sources
6a9791d8-442e-453c-8d49-84aad52b9b53,Group Trip Planning Assistance for Yaizu,Widget or Iframe,0,1,2026-02-12 15:44:26,assistant,text,焼津へようこそ！🌊観光チャットボットはこちらからどうぞ,,,,[]
6a9791d8-442e-453c-8d49-84aad52b9b53,Group Trip Planning Assistance for Yaizu,Widget or Iframe,1,2,2026-02-12 15:44:26,assistant,text,Welcome to Yaizu! 🌊Your local travel assistant is here — feel free to ask anything.,,,,[]
6a9791d8-442e-453c-8d49-84aad52b9b53,Group Trip Planning Assistance for Yaizu,Widget or Iframe,2,3,2026-02-12 15:44:26,user,text,👥 Group / 団体・友人グループ,,,,
6a9791d8-442e-453c-8d49-84aad52b9b53,Group Trip Planning Assistance for Yaizu,Widget or Iframe,3,4,2026-02-12 15:44:29,assistant,text,"グループでの焼津旅行ですね。  
みんなで楽しめる食事や観光スポット探しをお手伝いします。

人数や目的に合わせて、効率よく回れるプランをご案内できます。  
気になるものを選ぶか、自由に質問してください。

**▼ 例えばこんなご案内ができます**

- 団体・グループ対応の飲食店
- みんなで楽しめる観光スポット
- バス移動・アクセスに関する情報
- 短時間でも満足できるモデルコース

「〇人で入れるお店」「昼食場所を探している」など、  
気軽に聞いてください 😊",0.9023934603,,qna,[]
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,0,5,2026-02-12 13:21:47,assistant,text,焼津へようこそ！🌊観光チャットボットはこちらからどうぞ,,,,[]
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,1,6,2026-02-12 13:21:47,assistant,text,Welcome to Yaizu! 🌊Your local travel assistant is here — feel free to ask anything.,,,,[]
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,2,7,2026-02-12 13:21:47,user,text,本町には何がありますか？,,,,
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,3,8,2026-02-12 13:21:56,assistant,text,"焼津市の本町エリアについてご紹介いたします。

**御菓子司　角屋（かどや）**

焼津市本町5-7-8に位置する和洋菓子店です。

**営業情報**
- 営業時間：10:00～18:30
- 休業日：水曜日（行事により不定休）
- 電話：054-628-3870

**特徴**
1910年創業の老舗で、焼津らしいお菓子をコンセプトに和菓子と洋菓子の両方を自社で製造・販売しています。

**おすすめ商品**
- かつおサブレ
- みそまんじゅう（初代考案）
- その他和洋菓子

**アクセス**
- 焼津駅前より「焼津循環線」バス利用、「北浜通」下車、徒歩5分
- または焼津駅前よりレンタサイクル利用、約8分

ホームページ：[http://web.thn.jp/yaizukadoya/index.html](http://web.thn.jp/yaizukadoya/index.html)",0.60546875,,llm,"[{""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/?search_element_1%5B%5D=61&s_keyword_2=&csp=search_add&feadvns_max_line_3=3&fe_form_no=3""}, {""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/spot/2834""}, {""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/spot/2872""}, {""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/spot/4157""}, {""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/spot/2376""}, {""type"": ""link"", ""name"": ""https://www.yaizu.gr.jp/spot/1670""}]"
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,4,9,2026-02-12 13:21:56,assistant,text,他にご興味のあることはありますか？,,,,[]
d536fabf-ab00-4f76-9fcb-11ab40b650f8,本町の観光案内についての質問と応答,Widget or Iframe,5,10,2026-02-12 13:22:17,user,text,他の店,,,,
